ed_name,vs16,vs20,vs24,first_diff,second_diff,third_diff,san16vs,san20vs
82019,36.42,42.62,61.28,6.199999999999996,18.660000000000004,24.86,50.68,19.64
82020,45.48,49.2,64.25,3.720000000000006,15.049999999999997,18.770000000000003,53.26,27.69
82021,30.54,34.32,67.14,3.780000000000001,32.82,36.6,46.91,27.59
82022,30.98,33.64,65.43,2.66,31.790000000000006,34.45,36.3,16.0
82023,11.11,17.03,60.14,5.920000000000002,43.11,49.03,34.04,17.95
82024,27.02,29.18,57.79,2.16,28.61,30.77,42.5,29.66
82025,32.64,35.1,34.63,2.460000000000001,-0.46999999999999886,1.990000000000002,54.62,30.0
82027,10.23,16.7,47.72,6.469999999999999,31.02,37.489999999999995,45.98,31.13
82028,10.48,17.05,39.32,6.57,22.27,28.84,37.74,23.91
82029,16.56,22.22,37.13,5.66,14.910000000000004,20.570000000000004,37.5,33.33
82030,12.75,16.97,36.63,4.219999999999999,19.660000000000004,23.880000000000003,41.88,25.0
82031,9.48,16.83,46.05,7.349999999999998,29.22,36.56999999999999,31.08,22.54
82032,36.29,35.11,47.45,-1.1799999999999997,12.340000000000003,11.160000000000004,46.72,24.51
82033,38.53,43.88,48.37,5.350000000000001,4.489999999999995,9.839999999999996,51.02,21.3
82034,35.83,38.41,38.08,2.5799999999999983,-0.3299999999999983,2.25,51.19,12.64
82035,37.59,35.75,36.89,-1.8400000000000034,1.1400000000000006,-0.7000000000000028,44.2,22.6
82036,34.27,31.88,37.78,-2.390000000000004,5.900000000000002,3.509999999999998,47.06,24.84
82037,28.34,26.65,18.18,-1.6900000000000013,-8.469999999999999,-10.16,32.26,24.64
82038,21.36,23.66,45.47,2.3000000000000007,21.81,24.11,33.81,22.68
82039,30.34,33.97,43.23,3.629999999999999,9.259999999999998,12.889999999999997,56.45,25.93
82040,48.31,48.92,32.27,0.6099999999999994,-16.65,-16.04,56.25,27.69
82041,54.53,54.29,45.35,-0.240000000000002,-8.939999999999998,-9.18,44.66,26.37
82042,49.06,52.48,47.7,3.4199999999999946,-4.779999999999994,-1.3599999999999994,42.31,19.67
82043,56.7,56.81,52.52,0.10999999999999943,-4.289999999999999,-4.18,63.64,20.29
82044,55.03,56.18,47.27,1.1499999999999986,-8.909999999999997,-7.759999999999998,48.86,29.41
82046,60.68,59.72,13.27,-0.9600000000000009,-46.45,-47.41,52.48,25.3
82047,58.93,61.08,12.7,2.1499999999999986,-48.379999999999995,-46.230000000000004,65.85,24.19
82048,58.32,59.3,12.07,0.9799999999999969,-47.23,-46.25,47.0,19.77
