"AD","ED","County","EDAD Status","Event","Party/Independent Body","Office/Position Title","District Key","VoteFor","Unit Name","Tally"
"85","023","Bronx","IN-PLAY","Primary Election - 09/12/2017","Democratic","Member of the City Council","18",1,"Absentee / Military",6
"85","023","Bronx","IN-PLAY","Primary Election - 09/12/2017","Democratic","Member of the City Council","18",1,"Affidavit",0
"85","023","Bronx","IN-PLAY","Primary Election - 09/12/2017","Democratic","Member of the City Council","18",1,"William Russell Moore",5
"85","023","Bronx","IN-PLAY","Primary Election - 09/12/2017","Democratic","Member of the City Council","18",1,"Elvin Garcia",12
"85","023","Bronx","IN-PLAY","Primary Election - 09/12/2017","Democratic","Member of the City Council","18",1,"Amanda C. Farias",9
"85","023","Bronx","IN-PLAY","Primary Election - 09/12/2017","Democratic","Member of the City Council","18",1,"Michael Beltzer",10
"85","023","Bronx","IN-PLAY","Primary Election - 09/12/2017","Democratic","Member of the City Council","18",1,"Ruben Diaz Sr.",31
"85","024","Bronx","IN-PLAY","Primary Election - 09/12/2017","Democratic","Member of the City Council","18",1,"Public Counter",168
"85","024","Bronx","IN-PLAY","Primary Election - 09/12/2017","Democratic","Member of the City Council","18",1,"Manually Counted Emergency",0
"85","024","Bronx","IN-PLAY","Primary Election - 09/12/2017","Democratic","Member of the City Council","18",1,"Absentee / Military",4
"85","024","Bronx","IN-PLAY","Primary Election - 09/12/2017","Democratic","Member of the City Council","18",1,"Affidavit",0
"85","024","Bronx","IN-PLAY","Primary Election - 09/12/2017","Democratic","Member of the City Council","18",1,"William Russell Moore",20
"85","024","Bronx","IN-PLAY","Primary Election - 09/12/2017","Democratic","Member of the City Council","18",1,"Elvin Garcia",20
"85","024","Bronx","IN-PLAY","Primary Election - 09/12/2017","Democratic","Member of the City Council","18",1,"Amanda C. Farias",41
"85","024","Bronx","IN-PLAY","Primary Election - 09/12/2017","Democratic","Member of the City Council","18",1,"Michael Beltzer",37
"85","024","Bronx","IN-PLAY","Primary Election - 09/12/2017","Democratic","Member of the City Council","18",1,"Ruben Diaz Sr.",44
"85","025","Bronx","IN-PLAY","Primary Election - 09/12/2017","Democratic","Member of the City Council","18",1,"Public Counter",80
"85","025","Bronx","IN-PLAY","Primary Election - 09/12/2017","Democratic","Member of the City Council","18",1,"Manually Counted Emergency",0
"85","025","Bronx","IN-PLAY","Primary Election - 09/12/2017","Democratic","Member of the City Council","18",1,"Absentee / Military",4
"85","025","Bronx","IN-PLAY","Primary Election - 09/12/2017","Democratic","Member of the City Council","18",1,"Affidavit",1
"85","025","Bronx","IN-PLAY","Primary Election - 09/12/2017","Democratic","Member of the City Council","18",1,"William Russell Moore",11
